界面分类,界面名称,分组(模块/应用),图片对应功能,MTZ顶层模块,模块内路径,宽,高,九宫格.9.png,关键槽位
wallpaper,桌面壁纸 / 锁屏壁纸,壁纸 · wallpaper,桌面壁纸（主屏幕背景）,wallpaper,wallpaper/default_wallpaper.jpg,1440,3200,,★
wallpaper,桌面壁纸 / 锁屏壁纸,壁纸 · wallpaper,锁屏壁纸（锁定屏幕背景）,wallpaper,wallpaper/default_lock_wallpaper.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,主屏预览图,preview,preview/preview_wallpaper_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,锁屏预览图,preview,preview/preview_lockscreen_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,桌面预览图,preview,preview/preview_launcher_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,状态栏/通知栏预览图,preview,preview/preview_statusbar_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,控制中心预览图,preview,preview/preview_controlcenter_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,联系人预览图,preview,preview/preview_contact_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,短信预览图,preview,preview/preview_mms_0.jpg,1440,3200,,★
preview,主题预览图,预览图 · preview,息屏显示预览图,preview,preview/preview_aod_0.jpg,1080,2160,,★
aod,息屏显示 AOD,息屏显示 · 图标,息屏显示电池图标,aod,content/icon/battery.png,75,34,,
aod,息屏显示 AOD,息屏显示 · 图标,息屏显示手电筒图标,aod,content/icon/flash.png,35,34,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_00.png,465,549,,★
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_01.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_02.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_03.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_04.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_05.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_06.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_07.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_08.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_09.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_10.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_11.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_12.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_13.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_14.png,465,549,,
aod,息屏显示 AOD,息屏显示 · 画面帧,息屏显示画面帧,aod,content/img/img_nuom_15.png,465,549,,
